scrh_id,iDCG
1,31.0
4,1.0
6,31.0
8,31.0
11,1.0
12,1.0
17,1.0
21,31.0
25,31.0
28,31.0
29,31.0
30,31.0
31,1.0
36,31.0
39,31.0
40,1.0
42,32.13092975357146
43,1.0
44,31.0
45,31.0
46,32.13092975357146
47,31.0
49,31.0
52,31.0
53,31.0
56,1.0
57,31.0
60,31.0
61,1.0
63,1.0
64,31.0
65,1.0
66,31.0
67,31.0
71,1.0
72,31.0
73,31.0
74,31.0
75,31.0
78,31.0
79,31.0
80,31.0
81,1.0
82,31.0
83,1.0
84,31.0
85,31.0
87,31.0
90,1.0
93,31.0
94,31.0
96,1.0
97,31.0
99,31.0
101,31.0
102,31.0
103,1.0
104,31.0
106,31.630929753571458
107,1.0
108,1.0
109,1.0
110,31.0
111,31.0
112,31.0
113,31.0
114,31.0
115,31.0
116,31.0
117,31.0
118,31.0
119,1.0
120,31.0
123,31.0
124,31.0
126,1.6309297535714575
127,1.0
128,31.0
129,31.0
131,31.0
133,1.0
134,1.0
135,31.0
136,1.0
138,1.0
139,1.0
140,1.0
143,31.0
144,31.0
145,1.0
146,31.0
147,1.0
148,1.0
151,31.0
152,1.0
157,1.0
158,1.0
159,31.0
160,1.6309297535714575
161,1.0
162,1.0
163,31.0
165,31.0
168,31.0
170,31.0
174,31.0
175,31.0
176,1.6309297535714575
177,1.0
178,1.0
179,1.0
180,1.0
181,31.0
183,31.0
184,31.0
185,31.0
187,31.0
188,31.0
190,31.0
191,1.0
192,31.0
193,31.0
194,31.0
195,1.0
196,31.0
198,31.0
199,31.0
203,31.0
204,31.0
207,1.0
213,2.1309297535714578
218,31.630929753571458
220,1.0
221,31.0
224,1.0
225,31.0
226,31.0
229,31.0
230,31.0
231,31.0
235,1.0
236,31.0
237,31.0
240,1.0
241,31.0
242,31.0
246,31.0
247,31.0
248,1.0
252,31.0
253,31.0
257,31.0
259,31.0
262,31.0
264,1.0
265,31.0
267,31.0
268,1.0
271,31.0
275,31.0
276,31.0
277,31.0
282,31.0
288,1.0
290,31.0
292,1.0
293,2.1309297535714578
294,31.0
295,1.0
296,31.0
297,31.0
299,31.0
300,1.0
307,31.0
308,31.0
309,31.0
310,31.0
312,31.0
313,1.0
317,1.0
320,31.0
321,1.0
322,31.0
325,31.0
326,31.0
328,1.0
329,1.0
331,1.0
333,31.0
335,3.3046663059874146
338,1.0
339,31.0
342,31.0
344,31.0
345,31.0
346,31.0
348,31.0
350,1.0
353,31.0
355,31.0
356,31.0
357,31.630929753571458
359,1.0
360,31.0
361,1.0
362,31.0
365,31.0
366,31.0
367,31.0
372,31.0
374,31.0
375,31.0
376,31.0
377,1.0
379,31.0
382,1.6309297535714575
383,31.0
384,31.0
386,31.0
387,31.0
390,1.0
391,31.0
392,1.0
