,learning_rate,max_depth,n_estimators,objective,NDCG
0,0.05,6,500,rank:pairwise,0.4353391148963812
0,0.05,6,300,rank:pairwise,0.4338448510040877
0,0.05,6,500,rank:ndcg,0.43350017974135935
0,0.025,6,500,rank:pairwise,0.4317374947024816
0,0.1,6,300,rank:pairwise,0.431419103642485
0,0.025,8,500,rank:pairwise,0.4313582297628011
0,0.05,6,200,rank:pairwise,0.43123759791437705
0,0.1,6,150,rank:pairwise,0.4307495346424676
0,0.1,6,500,rank:map,0.4306907841326378
0,0.1,6,200,rank:pairwise,0.4306515681217189
0,0.1,6,110,rank:pairwise,0.43034442093144026
0,0.1,6,300,rank:ndcg,0.4295768346997468
0,0.1,6,500,rank:ndcg,0.4293166129171605
0,0.1,6,500,rank:pairwise,0.42923425229027823
0,0.025,6,300,rank:pairwise,0.4287375219600101
0,0.05,6,300,rank:ndcg,0.4285953727696857
0,0.025,8,300,rank:pairwise,0.4284873316124677
0,0.1,6,200,rank:ndcg,0.4282352811615036
0,0.1,6,300,rank:map,0.4280802803822217
0,0.1,6,200,rank:map,0.4279700411112854
0,0.1,6,150,rank:ndcg,0.4279100118440736
0,0.05,6,500,rank:map,0.4270446247198246
0,0.025,6,500,rank:map,0.4267448539752636
0,0.05,6,150,rank:pairwise,0.4266925551399995
0,0.025,6,500,rank:ndcg,0.4264369132617854
0,0.3,6,110,rank:pairwise,0.42622768235429
0,0.05,8,300,rank:pairwise,0.4260313303149839
0,0.025,8,500,rank:ndcg,0.4255746679311096
0,0.3,6,150,rank:pairwise,0.4253596305556592
0,0.025,8,200,rank:pairwise,0.4252117208930867
0,0.05,6,300,rank:map,0.42510224862879104
0,0.1,6,150,rank:map,0.42503890376984216
0,0.05,8,150,rank:pairwise,0.4248882852899877
0,0.1,6,110,rank:ndcg,0.4248250466957999
0,0.025,8,500,rank:map,0.4247969753166263
0,0.05,8,500,rank:ndcg,0.42476936332640897
0,0.1,8,110,rank:pairwise,0.4243166590276627
0,0.1,8,200,rank:pairwise,0.4243024299757932
0,0.05,6,200,rank:ndcg,0.42427188654380027
0,0.05,8,200,rank:pairwise,0.42410940795006624
0,0.05,8,500,rank:pairwise,0.4241034387989368
0,0.01,8,500,rank:pairwise,0.4239778486111782
0,0.01,6,500,rank:pairwise,0.4239148207500928
0,0.025,6,200,rank:pairwise,0.4235925954916058
0,0.05,8,300,rank:ndcg,0.4235582314185688
0,0.05,6,110,rank:pairwise,0.4235118047583957
0,0.05,8,500,rank:map,0.4235117853674815
0,0.1,8,150,rank:pairwise,0.4234544868736071
0,0.05,8,300,rank:map,0.42343484947234733
0,0.05,8,200,rank:map,0.4232730272385586
0,0.025,8,150,rank:pairwise,0.42320266749711744
0,0.05,8,110,rank:pairwise,0.4230467753858379
0,0.1,8,200,rank:map,0.42268749967396996
0,0.1,6,110,rank:map,0.4225763995575457
0,0.1,8,300,rank:ndcg,0.4225617019001683
0,0.3,6,110,rank:map,0.42251341950054666
0,0.05,6,200,rank:map,0.4224922320396697
0,0.1,8,300,rank:map,0.4223277413658975
0,0.3,6,110,rank:ndcg,0.4220409221161023
0,0.3,6,150,rank:map,0.42174608784583456
0,0.1,8,150,rank:map,0.4215489183688424
0,0.025,10,300,rank:pairwise,0.42142337091995796
0,0.1,8,200,rank:ndcg,0.4214198887663972
0,0.01,8,300,rank:pairwise,0.4212113495994445
0,0.05,8,200,rank:ndcg,0.4212069044546512
0,0.025,8,110,rank:pairwise,0.4211280353721152
0,0.3,6,200,rank:pairwise,0.4210909987089483
0,0.3,6,150,rank:ndcg,0.4208824278238241
0,0.025,10,500,rank:pairwise,0.4208350063781592
0,0.3,6,200,rank:map,0.42076121875540345
0,0.1,8,110,rank:map,0.42075783099115
0,0.1,8,150,rank:ndcg,0.42075406136588894
0,0.025,6,300,rank:map,0.42039624141753373
0,0.4,6,150,rank:pairwise,0.4203277218472439
0,0.025,6,150,rank:pairwise,0.4202747411446797
0,0.4,6,110,rank:pairwise,0.4201777714075922
0,0.025,8,300,rank:ndcg,0.4201623407438871
0,0.1,8,300,rank:pairwise,0.42011695771794855
0,0.05,8,150,rank:map,0.4199858048708731
0,0.05,6,150,rank:ndcg,0.4199405535004006
0,0.01,10,500,rank:pairwise,0.4197390008796051
0,0.025,8,300,rank:map,0.4195297952350624
0,0.1,8,500,rank:ndcg,0.4194844674283039
0,0.025,6,300,rank:ndcg,0.41942913357211103
0,0.05,8,150,rank:ndcg,0.41914859350340616
0,0.3,6,300,rank:map,0.4190667021062996
0,0.3,6,200,rank:ndcg,0.4189005488615251
0,0.1,8,110,rank:ndcg,0.4187814767627113
0,0.05,6,150,rank:map,0.41871397413085454
0,0.01,6,300,rank:pairwise,0.4187050146758027
0,0.4,6,110,rank:ndcg,0.4186026499347669
0,0.01,10,300,rank:pairwise,0.4182563287107737
0,0.025,10,500,rank:ndcg,0.4180739372193245
