srch_id,count
1,28
4,32
6,5
8,21
11,33
12,28
17,31
21,29
25,33
28,34
29,16
30,28
31,26
36,27
39,20
40,32
42,11
43,32
44,32
45,20
46,32
47,31
49,33
52,32
53,12
56,6
57,28
60,33
61,12
63,13
64,34
65,33
66,34
67,5
71,28
72,32
73,19
74,24
75,34
78,30
79,32
80,33
81,36
82,9
83,31
84,22
85,15
87,31
90,33
93,31
94,33
96,30
97,32
99,26
101,32
102,31
103,13
104,6
106,19
107,34
108,10
109,7
110,32
111,24
112,26
113,30
114,33
115,15
116,19
117,17
118,31
119,11
120,21
123,33
124,33
126,22
127,8
128,33
129,32
131,29
133,32
134,31
135,12
136,26
138,17
139,14
140,32
143,8
144,17
145,30
146,15
147,33
148,33
151,6
152,30
157,24
158,29
159,26
160,26
161,33
162,9
163,8
165,34
168,32
170,33
174,32
175,33
176,30
177,29
178,33
179,30
180,33
181,32
183,33
184,8
185,16
187,32
188,32
190,14
191,14
192,6
193,32
194,13
195,33
196,9
198,12
199,32
203,10
204,17
207,8
213,15
218,5
220,12
221,5
224,29
225,20
226,33
229,28
230,25
231,12
235,34
236,31
237,17
240,31
241,34
242,32
246,24
247,30
248,33
252,17
253,9
257,33
259,15
262,6
264,17
265,27
267,8
268,31
271,30
275,5
276,33
277,32
282,22
288,27
290,30
292,32
293,33
294,31
295,12
296,30
297,13
299,28
300,33
307,27
308,22
309,31
310,34
312,22
313,31
317,20
320,31
321,27
322,33
325,22
326,33
328,33
329,6
331,17
333,8
335,30
338,25
339,19
342,22
344,8
345,28
346,28
348,15
350,33
353,33
355,31
356,33
357,32
359,33
360,20
361,9
362,11
365,33
366,31
367,32
372,25
374,32
375,32
376,31
377,26
379,33
382,8
383,10
384,30
386,22
387,32
390,32
391,17
392,22
394,32
395,31
396,10
398,5
399,32
400,5
401,34
405,33
406,12
408,10
409,32
410,26
411,13
412,11
413,26
416,33
418,29
419,17
423,32
424,33
425,34
427,34
428,17
429,30
431,32
432,27
433,18
434,31
435,18
436,10
438,25
439,26
441,11
442,34
444,28
447,31
452,25
453,32
455,33
458,8
460,32
461,32
462,14
466,31
468,32
469,33
471,13
472,23
474,32
476,27
477,14
478,28
479,32
480,9
483,31
484,31
486,15
489,32
490,34
491,11
497,32
498,35
500,33
501,30
507,32
508,34
509,18
511,32
512,21
513,30
516,5
517,31
518,20
520,11
521,33
522,31
523,32
524,5
527,16
528,32
529,5
530,32
531,32
533,32
535,31
536,33
539,33
540,7
545,25
547,30
548,33
549,5
551,34
553,30
555,35
556,32
557,20
558,32
559,9
560,33
562,32
563,32
564,12
565,27
566,13
567,13
569,5
570,15
571,32
573,8
574,31
575,32
576,31
578,21
579,28
580,24
581,8
582,33
583,33
585,7
586,16
587,29
588,20
589,15
590,7
592,9
594,31
595,12
597,6
600,33
603,10
605,35
606,32
609,25
610,33
611,33
612,32
616,6
617,9
620,30
622,32
623,34
624,20
625,31
626,31
627,18
629,16
630,14
631,31
632,20
633,10
634,32
636,33
640,33
642,29
643,13
644,30
645,10
646,32
648,13
649,12
650,27
652,23
662,28
663,32
665,33
667,33
669,33
672,23
675,13
678,29
679,32
680,28
681,31
683,31
685,7
686,29
687,29
688,31
690,9
693,32
694,8
695,33
696,15
698,30
699,33
700,22
702,5
703,33
706,5
707,21
708,32
709,18
710,31
712,32
717,18
719,7
721,5
724,34
726,34
727,8
728,31
729,22
730,6
733,20
740,14
741,23
742,30
743,29
744,32
745,32
747,13
750,32
751,32
752,11
757,30
759,20
763,13
765,21
766,33
767,14
769,30
770,34
773,28
774,10
779,28
780,32
781,32
782,33
786,11
787,29
791,31
794,26
795,34
796,35
803,33
804,5
805,20
806,34
807,34
808,26
809,30
811,23
815,32
816,16
818,33
819,32
821,27
824,6
825,26
826,21
827,17
828,15
829,9
831,27
832,33
833,26
834,20
835,12
836,5
837,10
839,33
840,24
843,32
844,26
846,11
848,23
850,32
851,19
853,27
855,8
856,32
857,35
859,23
860,34
862,31
863,32
864,33
867,22
870,31
872,18
873,31
874,32
875,32
877,11
878,30
879,32
881,32
882,33
883,33
885,31
887,17
888,23
891,8
892,28
893,30
896,36
897,33
898,34
899,30
902,28
904,13
905,31
906,33
907,32
909,34
910,15
912,29
913,29
914,30
915,30
916,33
917,28
918,16
919,33
921,34
922,33
923,8
925,7
926,8
927,34
928,30
929,31
932,33
934,32
935,32
936,33
938,35
940,6
941,32
942,34
943,19
944,32
946,34
947,30
948,23
949,33
950,31
951,18
952,6
953,24
955,29
956,33
958,5
961,28
962,20
964,30
968,32
969,28
972,30
974,34
976,32
978,27
979,33
981,30
982,32
983,32
986,33
989,28
990,32
993,7
997,33
998,32
999,31
1002,28
1004,32
1006,33
1007,6
1008,31
1009,18
1010,31
1011,33
1012,15
1014,25
1016,21
1017,22
1018,31
1019,26
1020,27
1021,14
1023,7
1024,11
1026,24
1027,12
1029,33
1030,33
1032,32
1033,20
1035,6
1036,32
1038,6
1040,32
1041,31
1042,31
1043,33
1046,33
1048,31
1050,33
1051,24
1052,23
1053,31
1054,15
1056,35
1059,8
1061,6
1062,27
1063,31
1064,30
1066,13
1067,34
1068,28
1069,33
1070,32
1075,34
1077,31
1080,6
1082,7
1084,29
1085,33
1089,33
1092,20
1093,31
1094,21
1096,15
1098,30
1099,13
1101,13
1102,32
1104,30
1105,19
1106,32
1108,32
1109,24
1110,29
1112,14
1113,32
1115,32
1116,27
1117,31
1119,16
1120,33
1121,31
1122,30
1123,32
1124,32
1125,30
1126,32
1129,27
1131,28
1133,33
1135,30
1138,32
1139,33
1140,31
1142,8
1143,33
1145,19
1148,31
1149,33
1151,18
1153,14
1155,32
1156,29
1157,27
1158,12
1159,18
1160,24
1161,24
1167,33
1168,33
1169,6
1171,29
1174,31
1175,29
1176,31
1182,33
1185,34
1187,32
1188,14
1192,5
1193,28
1194,32
1195,30
1196,8
1198,32
1200,29
1201,6
1204,33
1205,34
1206,32
1207,34
1208,33
1209,8
1210,31
1211,25
1213,16
1215,27
1217,28
1218,30
1220,33
1221,12
1222,33
1224,31
1225,30
1226,25
1228,34
1229,31
1231,10
1232,32
1233,31
1235,11
1236,10
1237,23
1238,14
1239,8
1240,31
1241,33
1245,12
1247,28
1248,13
1249,32
1251,26
1253,34
1254,32
1255,33
1256,12
1258,33
1259,32
1260,24
1261,9
1262,18
1264,11
1265,34
1267,8
1270,28
1271,33
1272,29
1274,27
1275,12
1276,16
1277,27
1278,27
1279,34
1282,25
1285,20
1286,32
1287,10
1288,32
1290,25
1291,7
1295,34
1296,33
1297,18
1299,33
1301,20
1305,10
1306,31
1307,25
1308,23
1310,32
1314,32
1316,17
1317,31
1318,32
1320,24
1321,31
1323,20
1324,31
1325,28
1326,30
1327,32
1328,7
1329,16
1331,32
1336,32
1337,31
1338,32
1344,24
1345,17
1346,29
1347,6
1348,5
1349,32
1350,29
1352,15
1353,32
1354,31
1355,32
1356,31
1357,31
1358,35
1360,30
1362,14
1366,33
1369,32
1373,33
1374,29
1375,9
1376,8
1379,32
1381,31
1382,33
1384,25
1385,12
1388,33
1389,29
1390,30
1391,31
1392,18
1397,5
1398,28
1401,5
1403,6
1406,22
1408,6
1409,31
1414,22
1415,29
1417,8
1420,32
1423,17
1424,34
1425,9
1426,30
1428,33
1430,6
1432,33
1433,34
1434,15
1436,25
1437,31
1438,31
1439,6
1440,32
1443,26
1447,34
1448,32
1449,6
1450,30
1451,30
1454,27
1458,10
1460,25
1463,31
1464,18
1465,31
1468,31
1470,13
1471,31
1473,32
1474,31
1475,31
1477,35
1479,31
1480,33
1482,7
1483,32
1484,21
1485,32
1486,32
1487,30
1489,32
1490,18
1494,15
1495,34
1497,27
1498,14
1499,17
1500,31
1501,6
1502,19
1503,34
1504,20
1505,32
1506,28
1507,32
1508,33
1509,7
1511,34
1512,28
1513,33
1515,8
1516,34
1517,15
1518,30
1519,31
1520,30
1521,20
1523,33
1526,26
1527,12
1529,23
1530,30
1531,21
1532,12
1533,27
1534,33
1535,11
1537,32
1538,34
1539,31
1540,12
1542,22
1543,23
1544,13
1545,30
1551,20
1552,30
1555,33
1561,24
1562,32
1563,28
1564,27
1565,14
1569,33
1572,8
1573,33
1574,31
1577,14
1580,27
1581,6
1582,20
1583,28
1584,32
1585,29
1590,14
1591,32
1596,32
1600,7
1601,30
1602,6
1603,31
1604,33
1605,21
1606,11
1607,27
1608,27
1609,33
1610,33
1612,33
1614,32
1616,32
1618,34
1619,20
1621,27
1623,32
1626,32
1628,18
1629,15
1630,34
1631,32
1633,27
1634,27
1635,32
1636,31
1637,29
1639,29
1642,23
1644,33
1646,17
1647,31
1648,31
1649,6
1650,31
1651,20
1652,20
1654,34
1655,32
1656,17
1658,25
1659,16
1661,34
1662,9
1664,26
1665,32
1666,11
1670,28
1672,32
1673,32
1674,33
1678,26
1679,21
1680,32
1681,7
1682,15
1683,32
1684,6
1687,22
1689,18
1690,31
1696,31
1698,28
1699,29
1703,31
1705,33
1706,22
1709,33
1710,11
1713,33
1714,32
1715,33
1716,11
1717,26
1719,24
1722,6
1723,26
1724,30
1726,30
1728,9
1730,31
1731,6
1733,17
1736,27
1739,11
1740,11
1742,14
1746,31
1748,15
1749,32
1750,32
1751,25
1752,28
1753,35
1754,32
1756,23
1759,31
1761,31
1763,34
1764,21
1765,34
1766,33
1769,27
1770,34
1771,8
1773,9
1775,29
1776,26
1777,32
1779,30
1782,32
1784,6
1785,32
1786,28
1787,11
1788,33
1789,34
1790,31
1792,5
1793,15
1794,31
1798,33
1799,34
1802,6
1803,30
1804,31
1808,32
1812,34
1813,15
1814,32
1818,5
1819,8
1821,31
1824,17
1825,19
1826,33
1827,32
1830,31
1831,30
1832,24
1834,20
1835,32
1836,22
1837,31
1838,23
1839,26
1840,34
1843,22
1845,31
1846,22
1847,32
1848,6
1850,13
1852,32
1854,33
1855,33
1857,31
1858,22
1860,32
1861,33
1862,32
1864,21
1865,32
1867,33
1868,25
1871,28
1872,18
1874,21
1876,8
1877,33
1879,32
1880,15
1881,18
1884,28
1885,31
1886,31
1887,27
1888,33
1889,32
1890,31
1891,30
1892,32
1893,30
1894,31
1895,30
1896,18
1897,31
1899,32
1900,32
1901,31
1902,30
1903,32
1905,32
1906,25
1909,13
1911,32
1913,8
1915,30
1916,34
1917,33
1920,7
1922,5
1923,16
1924,32
1926,33
1927,31
1929,5
1931,31
1932,5
1933,8
1934,11
1935,9
1937,31
1939,32
1940,25
1944,7
1945,13
1947,31
1952,20
1955,23
1956,6
1959,20
1960,21
1961,32
1962,32
1964,31
1966,32
1967,33
1968,32
1969,32
1970,31
1972,25
1974,32
1975,7
1976,30
1979,13
1980,32
1982,31
1983,33
1984,32
1985,11
1987,23
1988,6
1990,25
1992,32
1993,33
1994,30
1996,15
1999,35
2000,33
2001,33
2002,21
2005,34
2006,28
2007,34
2008,32
2010,24
2013,32
2014,34
2015,31
2018,33
2019,30
2020,6
2021,11
2023,14
2024,29
2026,31
2027,17
2029,30
2030,30
2032,31
2033,9
2035,31
2039,12
2041,35
2049,13
2050,20
2052,34
2053,9
2055,17
2056,35
2059,26
2060,16
2061,8
2062,32
2063,11
2064,13
2065,28
2067,8
2068,33
2069,5
2070,28
2071,22
2074,31
2075,31
2076,14
2079,30
2080,32
2081,20
2083,27
2084,10
2086,31
2087,33
2090,27
2091,5
2092,32
2093,31
2096,25
2097,16
2098,31
2100,32
2101,27
2104,33
2105,12
2106,22
2107,28
2112,15
2113,13
2115,29
2116,9
2117,17
2119,16
2120,18
2121,22
2122,23
2123,19
2124,31
2125,32
2129,31
2130,20
2133,10
2135,31
2136,31
2137,22
2138,25
2140,16
2141,15
2145,27
2147,32
2150,23
2151,33
2153,6
2154,30
2155,32
2160,27
2161,32
2163,26
2165,16
2166,34
2167,33
2168,21
2169,23
2173,32
2175,33
2177,9
2178,27
2179,21
2180,19
2183,13
2185,34
2186,5
2187,33
2190,32
2195,30
2196,32
2198,15
2199,31
2200,31
2201,9
2202,17
2203,33
2204,31
2206,32
2207,12
2208,32
2210,33
2211,32
2212,32
2213,8
2218,19
2219,31
2221,33
2222,30
2225,31
2226,30
2227,23
2229,25
2231,32
2232,30
2233,34
2234,28
2235,20
2236,34
2238,32
2239,32
2240,31
2243,16
2245,31
2246,13
2247,20
2250,33
2251,33
2252,12
2255,11
2256,34
2261,6
2262,31
2263,33
2264,10
2265,31
2267,15
2268,6
2270,27
2271,28
2273,33
2274,14
2275,30
2276,33
2279,5
2281,34
2283,33
2286,20
2288,31
2289,32
2290,28
2292,9
2296,28
2299,25
2300,8
2302,20
2305,30
2306,14
2310,33
2313,32
2315,21
2318,13
2319,23
2320,12
2321,14
2325,13
2327,33
2328,32
2330,9
2336,17
2337,33
2338,32
2339,31
2341,9
2342,15
2344,20
2347,32
2348,34
2350,32
2351,32
2352,34
2353,30
2355,31
2356,30
2357,19
2359,21
2360,26
2361,11
2362,32
2364,24
2366,27
2367,32
2369,33
2371,16
2373,13
2374,33
2378,32
2380,30
2383,32
2385,24
2386,33
2387,33
2388,33
2389,13
2390,31
2391,24
2392,30
2394,32
2395,33
2396,32
2398,34
2399,34
2401,14
2402,11
2403,24
2404,5
2405,25
2407,32
2409,24
2410,26
2412,31
2413,28
2414,29
2415,31
2418,30
2420,19
2421,32
2423,30
2425,27
2426,33
2428,26
2430,23
2433,6
2435,12
2438,31
2445,10
2446,26
2447,34
2448,33
2449,31
2450,30
2451,33
2452,28
2453,32
2457,12
2458,20
2460,32
2461,10
2462,32
2463,31
2464,21
2467,31
2468,31
2471,27
2476,20
2478,32
2480,28
2481,32
2482,33
2483,32
2484,32
2485,20
2486,24
2489,33
2490,28
2492,31
2493,33
2494,33
2495,32
2498,32
2499,6
2501,33
2506,30
2507,11
2508,33
2509,5
2512,31
2513,31
2516,33
2518,33
2519,33
2520,29
2521,34
2522,31
2523,21
2524,33
2525,32
2526,33
2527,16
2528,30
2530,31
2531,30
2532,33
2533,31
2534,33
2538,33
2539,8
2540,31
2541,33
2542,27
2543,31
2544,23
2545,20
2546,24
2547,32
2549,33
2550,32
2551,16
2553,30
2554,32
2555,8
2556,31
2557,30
2558,33
2560,34
2561,22
2562,31
2563,15
2564,10
2565,32
2567,31
2568,34
2569,27
2570,32
2571,19
2572,28
2573,31
2574,32
2577,30
2578,27
2580,29
2581,31
2585,33
2586,14
2587,20
2589,33
2590,32
2592,13
2594,28
2595,21
2596,32
2597,30
2598,32
2599,34
2602,8
2604,8
2605,29
2607,33
2608,17
2610,14
2611,32
2612,30
2613,7
2615,33
2617,34
2618,24
2621,26
2625,28
2626,33
2627,32
2629,24
2630,32
2631,35
2633,12
2635,34
2637,19
2643,5
2644,29
2645,35
2646,23
2650,29
2652,7
2653,8
2654,12
2657,21
2659,29
2660,33
2661,33
2662,30
2664,29
2665,33
2666,34
2668,25
2669,20
2670,33
2671,30
2672,20
2673,14
2675,28
2676,31
2678,22
2679,33
2681,21
2683,32
2684,27
2685,33
2687,31
2688,17
2689,7
2690,29
2692,35
2693,33
2694,31
2696,34
2697,32
2698,26
2701,33
2702,34
2704,7
2707,16
2708,17
2709,33
2710,34
2712,32
2713,32
2716,29
2718,33
2722,31
2723,21
2724,7
2726,9
2729,14
2731,9
2733,32
2734,31
2738,20
2740,29
2745,17
2747,26
2749,29
2751,32
2754,6
2755,8
2757,33
2758,30
2759,10
2760,23
2761,32
2762,23
2767,8
2768,33
2770,22
2771,19
2773,17
2774,29
2776,19
2777,25
2778,15
2780,34
2781,13
2782,10
2784,10
2785,33
2787,10
2790,8
2792,32
2794,13
2795,32
2797,7
2799,31
2800,23
2801,23
2802,29
2803,5
2804,18
2805,32
2810,32
2815,33
2816,27
2818,29
2819,30
2826,32
2827,34
2829,32
2830,31
2832,32
2833,29
2834,10
2835,23
2836,26
2837,31
2838,32
2841,17
2845,33
2846,33
2847,6
2848,31
2849,33
2852,31
2854,5
2855,31
2856,27
2859,16
2860,13
2863,23
2864,32
2866,10
2868,30
2869,9
2872,31
2873,33
2876,32
2877,6
2878,8
2879,11
2880,32
2884,33
2887,29
2888,34
2889,28
2891,18
2892,31
2893,31
2894,10
2898,26
2899,26
2900,32
2903,27
2904,31
2905,32
2906,30
2908,31
2909,16
2911,33
2912,12
2913,10
2915,5
2916,31
2917,18
2918,31
2919,32
2920,28
2921,33
2922,5
2923,32
2925,19
2927,30
2928,5
2929,24
2931,27
2932,35
2933,34
2935,33
2936,26
2937,34
2939,31
2941,29
2942,35
2943,32
2944,31
2945,33
2946,31
2950,34
2952,33
2956,11
2958,18
2960,6
2961,32
2962,32
2963,33
2965,8
2966,9
2968,33
2969,34
2971,28
2972,16
2973,9
2975,32
2977,23
2979,32
2980,32
2981,28
2982,34
2985,32
2986,35
2987,33
2990,31
2991,5
2993,5
2994,31
2997,21
2998,31
2999,31
3000,33
3001,23
3002,12
3003,9
3004,17
3005,30
3006,19
3008,16
3009,31
3010,7
3011,18
3012,31
3015,30
3016,32
3019,13
3021,33
3022,33
3024,31
3026,34
3027,34
3028,31
3030,24
3031,10
3032,6
3033,33
3034,9
3037,12
3038,25
3039,31
3040,32
3042,33
3044,32
3045,34
3046,31
3047,6
3048,32
3049,30
3055,28
3060,20
3061,27
3062,32
3064,31
3065,30
3067,28
