"";"Timestamp";"What.programme.are.you.in.";"Have.you.taken.a.course.on.machine.learning.";"Have.you.taken.a.course.on.information.retrieval.";"Have.you.taken.a.course.on.statistics.";"Have.you.taken.a.course.on.databases.";"What.is.your.gender.";"Chocolate.makes.you.....";"birthday.x";"neighbors.x";"stand";"stress";"gain";"rn";"bed_time";"What.makes.a.good.day.for.you..1..";"What.makes.a.good.day.for.you..2.."
"1";"3/16/2021 14:37:20";"Master Tax Law - Tax and Technology";"yes";"0";"mu";"ja";"male";"neither";NA;2;"no";85;50;8;"22H 15M 0S";"Having completed a set task.";"Happy people"
"2";"3/24/2021 17:28:48";"AI";"no";"0";"sigma";"nee";"male";"I have no idea what you are talking about";NA;0;"no";0;100;3;"22H 0M 0S";"Coffee";"Sun"
"3";"3/25/2021 12:31:29";"DMT";"no";"0";"mu";"nee";"male";"fat";"1997-09-23";4;"no";40;5;NA;"0S  ";"Be Happy";"Having a very productive day"
"4";"3/25/2021 15:56:30";"CS";"no";"1";"mu";"ja";"male";"I have no idea what you are talking about";"1999-07-30";NA;"no";42;5;NA;"NA  ";"If you give me a 10";"If you give my team a 10"
"5";"3/25/2021 17:41:04";"AI";"yes";"0";"mu";"ja";"female";"neither";"1998-03-08";1;"no";20;50;4;"2H 0M 0S";"nice weather";"having good food"
"6";"3/26/2021 11:31:46";"system security";"no";"1";"sigma";"ja";"male";"neither";"1995-01-13";0;"no";20;30;5;"NA  ";"weather";"free day"
"7";"3/26/2021 13:59:32";"Quantitative Risk Management";"yes";"0";"mu";"nee";"male";"fat";"1997-07-28";0;"no";20;0;NA;"1H 30M 0S";"Classical music";"Data mining :-P"
"8";"3/26/2021 14:30:47";"Computational Science";"no";"0";"sigma";"nee";"male";"neither";"1993-11-14";0;"no";20;0,2;7;"12H 0M 0S";"Making progress in a tough course";"Watching the game, smoking some bud"
"9";"3/26/2021 15:31:08";"AI";"no";"0";"mu";"ja";"male";"neither";"1997-02-08";0;"no";99;1;6;"1H 45M 0S";"Drum";"Bass"
"10";"3/26/2021 22:29:30";"AI";"no";"0";"mu";"ja";"male";"neither";NA;1;"no";50;2;4;"1H 0M 0S";"Meeting a friend";"Being productive"
"11";"3/26/2021 23:46:34";"Computational Science";"no";"0";"mu";"nee";"male";"fat";NA;2;"no";90;30;7;"1H 0M 0S";"Good coffe";"Get motivated"
"12";"3/27/2021 16:02:34";"AI";"yes";"0";"mu";"nee";"male";"fat";"1998-04-15";3;"no";60;5;7;"1H 0M 0S";"Start studying early";"Finishing everything that I proposed for that day"
"13";"3/27/2021 19:31:57";"big data engineering ";"no";"1";"mu";"nee";"male";"neither";"1977-07-02";4;"unknown";75;500;7;"12H 0M 0S";"feel of achievement ";"go out, talk to people "
"14";"3/27/2021 20:59:51";"MSc in Bioinformatics and Systems Biology";"yes";"0";"mu";"nee";"female";"neither";"1997-07-11";0;"no";50;10;7;"2H 0M 0S";"relaxing and chill schedule";"nice weather"
