"";"program";"Timestamp";"ml";"ir";"stats";"db";"gender";"chocolate";"birthday";"neighbors";"stand";"stress";"gain";"rn";"bed_time";"good_day_1";"good_day_2"
"1";"MASTER TAX LAW - TAX AND TECHNOLOGY";"3/16/2021 14:37:20";"yes";"0";"mu";"ja";"male";"neither";NA;2;"no";85;50;8;"22H 15M 0S";"Having completed a set task.";"Happy people"
"2";"ARTIFICIAL INTELLIGENCE";"3/24/2021 17:28:48";"no";"0";"sigma";"nee";"male";"I have no idea what you are talking about";NA;0;"no";0;100;3;"22H 0M 0S";"Coffee";"Sun"
"3";NA;"3/25/2021 12:31:29";"no";"0";"mu";"nee";"male";"fat";"23/09/1997";4;"no";40;5;NA;"0H 0M 0S  ";"Be Happy";"Having a very productive day"
"4";"COMPUTER SCIENCE";"3/25/2021 15:56:30";"no";"1";"mu";"ja";"male";"I have no idea what you are talking about";"30/07/1999";NA;"no";42;5;NA;"NA  ";"If you give me a 10";"If you give my team a 10"
"5";"ARTIFICIAL INTELLIGENCE";"3/25/2021 17:41:04";"yes";"0";"mu";"ja";"female";"neither";"08/03/1998";1;"no";20;50;4;"2H 0M 0S";"nice weather";"having good food"
"6";"SYSTEM SECURITY";"3/26/2021 11:31:46";"no";"1";"sigma";"ja";"male";"neither";"13/01/1995";0;"no";20;30;5;"NA  ";"weather";"free day"
"7";"QUANTITATIVE RISK MANAGEMENT";"3/26/2021 13:59:32";"yes";"0";"mu";"nee";"male";"fat";"28/07/1997";0;"no";20;0;NA;"1H 30M 0S";"Classical music";"Data mining :-P"
"8";"COMPUTATIONAL SCIENCE";"3/26/2021 14:30:47";"no";"0";"sigma";"nee";"male";"neither";"14/11/1993";0;"no";20;0,2;7;"12H 0M 0S";"Making progress in a tough course";"Watching the game, smoking some bud"
"9";"ARTIFICIAL INTELLIGENCE";"3/26/2021 15:31:08";"no";"0";"mu";"ja";"male";"neither";"08/02/1997";0;"no";99;1;6;"1H 45M 0S";"Drum";"Bass"
"10";"ARTIFICIAL INTELLIGENCE";"3/26/2021 22:29:30";"no";"0";"mu";"ja";"male";"neither";NA;1;"no";50;2;4;"1H 0M 0S";"Meeting a friend";"Being productive"
"11";"COMPUTATIONAL SCIENCE";"3/26/2021 23:46:34";"no";"0";"mu";"nee";"male";"fat";NA;2;"no";90;30;7;"1H 0M 0S";"Good coffe";"Get motivated"
"12";"ARTIFICIAL INTELLIGENCE";"3/27/2021 16:02:34";"yes";"0";"mu";"nee";"male";"fat";"15/04/1998";3;"no";60;5;7;"1H 0M 0S";"Start studying early";"Finishing everything that I proposed for that day"
"13";"COMPUTER SCIENCE";"3/27/2021 19:31:57";"no";"1";"mu";"nee";"male";"neither";"02/07/1977";4;"unknown";75;500;7;"12H 0M 0S";"feel of achievement ";"go out, talk to people "
"14";"BIOINFORMATICS";"3/27/2021 20:59:51";"yes";"0";"mu";"nee";"female";"neither";"11/07/1997";0;"no";50;10;7;"2H 0M 0S";"relaxing and chill schedule";"nice weather"
"15";"HUMAN LANGUAGE TECHNOLOGY";"3/27/2021 21:19:34";"yes";"0";"mu";"nee";"female";"neither";"07/04/1998";2;"no";20;5;NA;"2H 0M 0S";"sunny wheather outside";"coronavirus restrictions lifted"
"16";"ARTIFICIAL INTELLIGENCE";"3/28/2021 10:27:38";"yes";"0";"mu";"ja";"female";"fat";"30/07/1997";0;"no";10;0,1;7;"23H 10M 0S";"Socialize a bit";"Tidy environment"
"17";"COMPUTATIONAL SCIENCE";"3/28/2021 10:58:31";"no";"0";"mu";"nee";"female";"fat";NA;0;"yes";0;50;8;"0H 45M 0S ";"get up";"food"
"18";"ARTIFICIAL INTELLIGENCE";"3/28/2021 11:22:44";"no";"0";"mu";"nee";"female";"neither";"03/09/1966";0;"no";70;5;7;"23H 0M 0S";"nice weather";"surprising things happen"
"19";"QUANTITATIVE RISK MANAGEMENT";"3/28/2021 12:40:57";"yes";"0";"mu";"ja";"male";"slim";NA;0;"yes";77;2,5;7;"5H 0M 0S";"Food";"Beer"
"20";"BUSINESS ANALYTICS";"3/28/2021 20:21:27";"yes";"1";"mu";"ja";"male";"slim";"06/01/1998";0;"no";10;10;NA;"23H 30M 0S";"No stress";"Doing sports"
"21";"ARTIFICIAL INTELLIGENCE";"3/28/2021 21:38:59";"yes";"unknown";"mu";"nee";"female";"neither";"04/08/1995";0;"no";40;12;4;"13H 0M 0S";"food";"sleep"
"22";"COMPUTATIONAL SCIENCE";"3/28/2021 23:23:22";"no";"0";"mu";"ja";"male";"slim";"31/07/1996";5;"no";7;8;NA;"NA  ";"Sleeping to a good movie";"Food"
"23";"COMPUTER SCIENCE";"3/29/2021 0:12:18";"no";"0";"mu";"ja";"male";"fat";"01/09/2020";10;"yes";93;93;10;"22H 0M 0S";"happy";"very happy"
"24";"COMPUTATIONAL SCIENCE";"3/29/2021 6:09:27";"no";"0";"mu";"nee";"male";"fat";"11/11/1995";0;"no";100;0;2;"23H 0M 0S";"Good sleep";"Good food"
"25";"COMPUTER SCIENCE";"3/29/2021 6:39:25";"yes";"0";"mu";"ja";"female";"fat";"29/10/1997";0;"no";50;30;NA;"1H 23M 0S";"Everything is under control.";"Delicious food."
"26";"ARTIFICIAL INTELLIGENCE";"3/29/2021 8:32:53";"yes";"0";"mu";"ja";"male";"slim";"01/12/1998";1;"no";NA;0;3;"23H 0M 0S";"Sun";"Good weather"
"27";"LINGUISTICS";"3/29/2021 9:41:50";"yes";"0";"mu";"nee";"female";"neither";"13/02/1998";4;"unknown";70;50;NA;"2H 0M 0S";"A productive study/work day";"Inner peace"
"28";"BIOINFORMATICS";"3/29/2021 10:09:42";"no";"0";"mu";"nee";"female";"fat";"04/11/1997";0;"no";12;2;6;"22H 54M 0S";"Nice wheather";"Seeing my boyfriend"
"29";"BUSINESS ANALYTICS";"3/29/2021 10:29:23";"yes";"1";"mu";"nee";"male";"neither";"13/07/1999";0;"no";30;1;6;"23H 30M 0S";"Sunny weather";"Coffee"
"30";"BIOINFORMATICS";"3/29/2021 10:39:02";"yes";"0";"mu";"nee";"male";"slim";"20/05/1989";1;"no";30;100;NA;"22H 0M 0S";"Enjoy the sun.";"Share some laughts."
"31";"COMPUTATIONAL SCIENCE";"3/29/2021 10:49:15";"yes";"1";"mu";"ja";"male";"fat";"18/12/1996";0;"no";90;20;NA;"0H 0M 0S  ";"sun";"no rain"
"32";NA;"3/29/2021 11:00:34";"yes";"0";"mu";"ja";"male";"fat";"30/10/1997";0;"no";70;50;8;"0H 30M 0S ";"laughing";"working out"
"33";"ECONOMETRICS";"3/29/2021 11:16:17";"no";"1";"mu";"nee";"male";"fat";"26/01/1998";0;"no";0;20;10;"0H 0M 0S  ";"sunny weather";"wake up happy"
"34";"COMPUTATIONAL SCIENCE";"3/29/2021 11:19:21";"no";"0";"mu";"ja";"male";"neither";"11/11/1997";0;"no";5;70;NA;"12H 30M 0S";"Sunshine";"Friends"
"35";"COMPUTATIONAL SCIENCE";"3/29/2021 11:22:24";"yes";"0";"mu";"ja";"female";"slim";NA;1;"no";10;5;3;"23H 30M 0S";"Meeting with friends";"Coffee to go in corona times"
"36";"COMPUTATIONAL SCIENCE";"3/29/2021 11:30:19";"yes";"0";"sigma";"ja";"male";"fat";NA;3;"no";67;1;NA;"22H 45M 0S";"Doing physical activities (games) with friends in a park on sunny day with some alcoholic beverages.";"Winning a competitive korfbal match after putting in a good performance."
"37";"HUMAN LANGUAGE TECHNOLOGY";"3/29/2021 11:39:25";"yes";"0";"mu";"nee";"female";"I have no idea what you are talking about";"14/08/1995";1;"no";50;10;7;"23H 0M 0S";"Take a walk in nature";"Good chat with friends and drinks"
"38";"HUMAN LANGUAGE TECHNOLOGY";"3/29/2021 12:45:18";"yes";"0";"mu";"nee";"female";"neither";"27/03/1999";0;"no";40;5;7;"23H 30M 0S";"Sunshine";"Good night's sleep"
"39";"ECONOMETRICS";"3/29/2021 13:05:02";"yes";"0";"mu";"nee";"male";"fat";"06/03/1999";0;"no";30;8;6;"1H 0M 0S";"weather";"girlfriend"
"40";"ECONOMETRICS";"3/29/2021 13:06:57";"yes";"0";"mu";"nee";"male";"neither";"08/04/1998";0;"no";0;80;NA;"2H 0M 0S";"Being productive";"Meeting friends"
"41";"ARTIFICIAL INTELLIGENCE";"3/29/2021 13:16:49";"yes";"0";"mu";"nee";"male";"fat";"17/06/1994";0;"no";20;18;NA;"23H 30M 0S";"sunshine";"sport"
"42";"ECONOMETRICS";"3/29/2021 13:27:23";"no";"0";"mu";"ja";"male";"fat";NA;2;"no";50;10;NA;"23H 0M 0S";"good weather";"having a good breakfast"
"43";"ECONOMETRICS";"3/29/2021 13:43:38";"yes";"0";"mu";"ja";"male";"neither";"18/06/1996";0;"no";12;0,5;NA;"11H 45M 0S";"Good food";"Sex"
